model,hw,task,ablation,operator,cycles,pct_of_total
bagel,ours,GenEdit,onlyT3,img/drain,25600,0.000
bagel,ours,GenEdit,onlyT3,img/ffn_down,201189542400,18.522
bagel,ours,GenEdit,onlyT3,img/ffn_up,402379084800,37.044
bagel,ours,GenEdit,onlyT3,img/omap,75463449600,6.947
bagel,ours,GenEdit,onlyT3,img/prefetch,102400,0.000
bagel,ours,GenEdit,onlyT3,img/qkv,103817246400,9.558
bagel,ours,GenEdit,noT3,text/attn,24575843646,1.944
bagel,ours,GenEdit,noT3,text/ffn_down,54804082144,4.336
bagel,ours,GenEdit,noT3,text/ffn_up,56458378144,4.467
bagel,ours,GenEdit,noT3,text/omap,10681314784,0.845
bagel,ours,GenEdit,noT3,text/qkv,13733119008,1.087
bagel,ours,GenEdit,noT3,img/attn,60167923200,4.760
bagel,ours,GenEdit,noT3,img/drain,25600,0.000
bagel,ours,GenEdit,noT3,img/ffn_down,398878233600,31.558
bagel,ours,GenEdit,noT3,img/ffn_up,465357939200,36.818
bagel,ours,GenEdit,noT3,img/omap,75463449600,5.971
bagel,ours,GenEdit,noT3,img/prefetch,102400,0.000
bagel,ours,GenEdit,noT3,img/qkv,103817246400,8.214
bagel,ours,GenEval,alloff,text/attn,2063273502,0.186
bagel,ours,GenEval,alloff,text/ffn_down,54804082144,4.928
bagel,ours,GenEval,alloff,text/ffn_up,56458378144,5.077
bagel,ours,GenEval,alloff,text/omap,10681314784,0.960
bagel,ours,GenEval,alloff,text/qkv,13733119008,1.235
bagel,ours,GenEval,alloff,img/attn,57115027200,5.136
bagel,ours,GenEval,alloff,img/drain,25600,0.000
bagel,ours,GenEval,alloff,img/ffn_down,265918822400,23.911
bagel,ours,GenEval,alloff,img/ffn_up,531837644800,47.821
bagel,ours,GenEval,alloff,img/omap,50308966400,4.524
bagel,ours,GenEval,alloff,img/prefetch,102400,0.000
bagel,ours,GenEval,alloff,img/qkv,69211497600,6.223
bagel,ours,GenEval,onlyT1,text/attn,2063273502,0.190
bagel,ours,GenEval,onlyT1,text/ffn_down,54804082144,5.055
bagel,ours,GenEval,onlyT1,text/ffn_up,56458378144,5.208
bagel,ours,GenEval,onlyT1,text/omap,10681314784,0.985
bagel,ours,GenEval,onlyT1,text/qkv,13733119008,1.267
bagel,ours,GenEval,onlyT1,img/attn,29142220800,2.688
bagel,ours,GenEval,onlyT1,img/drain,25600,0.000
bagel,ours,GenEval,onlyT1,img/ffn_down,265918822400,24.528
bagel,ours,GenEval,onlyT1,img/ffn_up,531837644800,49.055
bagel,ours,GenEval,onlyT1,img/omap,50308966400,4.640
bagel,ours,GenEval,onlyT1,img/prefetch,102400,0.000
bagel,ours,GenEval,onlyT1,img/qkv,69211497600,6.384
bagel,ours,GenEval,onlyT2,text/attn,2063273502,0.204
bagel,ours,GenEval,onlyT2,text/ffn_down,54804082144,5.429
bagel,ours,GenEval,onlyT2,text/ffn_up,56458378144,5.593
bagel,ours,GenEval,onlyT2,text/omap,10681314784,1.058
bagel,ours,GenEval,onlyT2,text/qkv,13733119008,1.361
bagel,ours,GenEval,onlyT2,img/attn,57115027200,5.658
bagel,ours,GenEval,onlyT2,img/drain,25600,0.000
bagel,ours,GenEval,onlyT2,img/ffn_down,265918822400,26.344
bagel,ours,GenEval,onlyT2,img/ffn_up,429096281600,42.510
bagel,ours,GenEval,onlyT2,img/omap,50308966400,4.984
bagel,ours,GenEval,onlyT2,img/prefetch,102400,0.000
bagel,ours,GenEval,onlyT2,img/qkv,69211497600,6.857
bagel,ours,GenEval,onlyT3,text/attn,2063273502,0.309
bagel,ours,GenEval,onlyT3,text/ffn_down,28334012448,4.248
bagel,ours,GenEval,onlyT3,text/ffn_up,33140139872,4.969
bagel,ours,GenEval,onlyT3,text/omap,10681314784,1.601
bagel,ours,GenEval,onlyT3,text/qkv,13733119008,2.059
bagel,ours,GenEval,onlyT3,img/attn,57115027200,8.563
bagel,ours,GenEval,onlyT3,img/drain,25600,0.000
bagel,ours,GenEval,onlyT3,img/ffn_down,134126361600,20.110
bagel,ours,GenEval,onlyT3,img/ffn_up,268252723200,40.220
bagel,ours,GenEval,onlyT3,img/omap,50308966400,7.543
bagel,ours,GenEval,onlyT3,img/prefetch,102400,0.000
bagel,ours,GenEval,onlyT3,img/qkv,69211497600,10.377
bagel,ours,GenEval,noT3,text/attn,2063273502,0.210
bagel,ours,GenEval,noT3,text/ffn_down,54804082144,5.584
bagel,ours,GenEval,noT3,text/ffn_up,56458378144,5.753
bagel,ours,GenEval,noT3,text/omap,10681314784,1.088
bagel,ours,GenEval,noT3,text/qkv,13733119008,1.399
bagel,ours,GenEval,noT3,img/attn,29142220800,2.969
bagel,ours,GenEval,noT3,img/drain,25600,0.000
bagel,ours,GenEval,noT3,img/ffn_down,265918822400,27.095
bagel,ours,GenEval,noT3,img/ffn_up,429096281600,43.722
bagel,ours,GenEval,noT3,img/omap,50308966400,5.126
bagel,ours,GenEval,noT3,img/prefetch,102400,0.000
bagel,ours,GenEval,noT3,img/qkv,69211497600,7.052
bagel,ours,MM,alloff,text/attn,24515087541,15.304
bagel,ours,MM,alloff,text/ffn_down,54804082144,34.212
bagel,ours,MM,alloff,text/ffn_up,56458378144,35.244
bagel,ours,MM,alloff,text/omap,10681314784,6.668
bagel,ours,MM,alloff,text/qkv,13733119008,8.573
bagel,ours,MM,onlyT1,text/attn,24515087541,15.304
bagel,ours,MM,onlyT1,text/ffn_down,54804082144,34.212
bagel,ours,MM,onlyT1,text/ffn_up,56458378144,35.244
bagel,ours,MM,onlyT1,text/omap,10681314784,6.668
bagel,ours,MM,onlyT1,text/qkv,13733119008,8.573
bagel,ours,MM,onlyT2,text/attn,24515087541,15.304
bagel,ours,MM,onlyT2,text/ffn_down,54804082144,34.212
bagel,ours,MM,onlyT2,text/ffn_up,56458378144,35.244
bagel,ours,MM,onlyT2,text/omap,10681314784,6.668
bagel,ours,MM,onlyT2,text/qkv,13733119008,8.573
bagel,ours,MM,onlyT3,text/attn,24515087541,22.205
bagel,ours,MM,onlyT3,text/ffn_down,28334012448,25.664
bagel,ours,MM,onlyT3,text/ffn_up,33140139872,30.017
bagel,ours,MM,onlyT3,text/omap,10681314784,9.675
bagel,ours,MM,onlyT3,text/qkv,13733119008,12.439
bagel,ours,MM,noT3,text/attn,24515087541,15.304
bagel,ours,MM,noT3,text/ffn_down,54804082144,34.212
bagel,ours,MM,noT3,text/ffn_up,56458378144,35.244
bagel,ours,MM,noT3,text/omap,10681314784,6.668
bagel,ours,MM,noT3,text/qkv,13733119008,8.573
janus,ours,GenEval,alloff,text/attn,1010582940,0.568
janus,ours,GenEval,alloff,text/ffn_down,8113151232,4.560
janus,ours,GenEval,alloff,text/ffn_up,16370033856,9.201
janus,ours,GenEval,alloff,text/omap,5952739584,3.346
janus,ours,GenEval,alloff,text/qkv,17858218752,10.037
janus,ours,GenEval,alloff,img/attn,17189867520,9.662
janus,ours,GenEval,alloff,img/drain,15360,0.000
janus,ours,GenEval,alloff,img/ffn_down,25668403200,14.427
janus,ours,GenEval,alloff,img/ffn_up,51336806400,28.854
janus,ours,GenEval,alloff,img/omap,9333964800,5.246
janus,ours,GenEval,alloff,img/prefetch,61440,0.000
janus,ours,GenEval,alloff,img/qkv,25085030400,14.099
janus,ours,GenEval,onlyT1,text/attn,1010582940,0.594
janus,ours,GenEval,onlyT1,text/ffn_down,8113151232,4.770
janus,ours,GenEval,onlyT1,text/ffn_up,16370033856,9.625
janus,ours,GenEval,onlyT1,text/omap,5952739584,3.500
janus,ours,GenEval,onlyT1,text/qkv,17858218752,10.500
janus,ours,GenEval,onlyT1,img/attn,9347235840,5.496
janus,ours,GenEval,onlyT1,img/drain,15360,0.000
janus,ours,GenEval,onlyT1,img/ffn_down,25668403200,15.092
janus,ours,GenEval,onlyT1,img/ffn_up,51336806400,30.185
janus,ours,GenEval,onlyT1,img/omap,9333964800,5.488
janus,ours,GenEval,onlyT1,img/prefetch,61440,0.000
janus,ours,GenEval,onlyT1,img/qkv,25085030400,14.749
janus,ours,GenEval,onlyT2,text/attn,1010582940,0.578
janus,ours,GenEval,onlyT2,text/ffn_down,8113151232,4.644
janus,ours,GenEval,onlyT2,text/ffn_up,16370033856,9.370
janus,ours,GenEval,onlyT2,text/omap,5952739584,3.407
janus,ours,GenEval,onlyT2,text/qkv,17858218752,10.222
janus,ours,GenEval,onlyT2,img/attn,17189867520,9.839
janus,ours,GenEval,onlyT2,img/drain,15360,0.000
janus,ours,GenEval,onlyT2,img/ffn_down,25668403200,14.692
janus,ours,GenEval,onlyT2,img/ffn_up,48128256000,27.547
janus,ours,GenEval,onlyT2,img/omap,9333964800,5.343
janus,ours,GenEval,onlyT2,img/prefetch,61440,0.000
janus,ours,GenEval,onlyT2,img/qkv,25085030400,14.358
janus,ours,GenEval,onlyT3,text/attn,1010582940,0.784
janus,ours,GenEval,onlyT3,text/ffn_down,4511820288,3.498
janus,ours,GenEval,onlyT3,text/ffn_up,8940233280,6.932
janus,ours,GenEval,onlyT3,text/omap,5952739584,4.616
janus,ours,GenEval,onlyT3,text/qkv,17858218752,13.847
janus,ours,GenEval,onlyT3,img/attn,17189867520,13.329
janus,ours,GenEval,onlyT3,img/drain,15360,0.000
janus,ours,GenEval,onlyT3,img/ffn_down,13028843520,10.102
janus,ours,GenEval,onlyT3,img/ffn_up,26057687040,20.205
janus,ours,GenEval,onlyT3,img/omap,9333964800,7.237
janus,ours,GenEval,onlyT3,img/prefetch,61440,0.000
janus,ours,GenEval,onlyT3,img/qkv,25085030400,19.450
janus,ours,GenEval,noT3,text/attn,1010582940,0.606
janus,ours,GenEval,noT3,text/ffn_down,8113151232,4.862
janus,ours,GenEval,noT3,text/ffn_up,16370033856,9.810
janus,ours,GenEval,noT3,text/omap,5952739584,3.567
janus,ours,GenEval,noT3,text/qkv,17858218752,10.702
janus,ours,GenEval,noT3,img/attn,9347235840,5.602
janus,ours,GenEval,noT3,img/drain,15360,0.000
janus,ours,GenEval,noT3,img/ffn_down,25668403200,15.382
janus,ours,GenEval,noT3,img/ffn_up,48128256000,28.842
janus,ours,GenEval,noT3,img/omap,9333964800,5.594
janus,ours,GenEval,noT3,img/prefetch,61440,0.000
janus,ours,GenEval,noT3,img/qkv,25085030400,15.033
janus,ours,MM,alloff,text/attn,5974702740,11.009
janus,ours,MM,alloff,text/ffn_down,8113151232,14.950
janus,ours,MM,alloff,text/ffn_up,16370033856,30.165
janus,ours,MM,alloff,text/omap,5952739584,10.969
janus,ours,MM,alloff,text/qkv,17858218752,32.907
