model,hw,task,ablation,operator,cycles,pct_of_total
bagel,ours,GenEval,onlyT2,text/ffn_down,54804082144,5.142
bagel,ours,GenEval,onlyT2,text/ffn_up,112916756288,10.594
bagel,ours,GenEval,onlyT2,text/omap,10681314784,1.002
bagel,ours,GenEval,onlyT2,text/qkv,13733119008,1.288
bagel,ours,GenEval,onlyT3,img/attn,57115027200,8.158
bagel,ours,GenEval,onlyT3,img/drain,25600,0.0
bagel,ours,GenEval,onlyT3,img/ffn_down,134126361600,19.158
bagel,ours,GenEval,onlyT3,img/ffn_up,268252723200,38.316
bagel,ours,GenEval,onlyT3,img/omap,50308966400,7.186
bagel,ours,GenEval,onlyT3,img/prefetch,102400,0.0
bagel,ours,GenEval,onlyT3,img/qkv,69211497600,9.886
bagel,ours,GenEval,onlyT3,text/attn,2063273502,0.295
bagel,ours,GenEval,onlyT3,text/ffn_down,28334012448,4.047
bagel,ours,GenEval,onlyT3,text/ffn_up,66280279744,9.467
bagel,ours,GenEval,onlyT3,text/omap,10681314784,1.526
bagel,ours,GenEval,onlyT3,text/qkv,13733119008,1.962
bagel,ours,MM,all_on,text/attn,24515087541,19.278
bagel,ours,MM,all_on,text/ffn_down,28334012448,22.281
bagel,ours,MM,all_on,text/ffn_up,66280279744,52.12
bagel,ours,MM,all_on,text/omap,3517469312,2.766
bagel,ours,MM,all_on,text/qkv,4522460544,3.556
bagel,ours,MM,alloff,text/attn,24515087541,11.316
bagel,ours,MM,alloff,text/ffn_down,54804082144,25.296
bagel,ours,MM,alloff,text/ffn_up,112916756288,52.119
bagel,ours,MM,alloff,text/omap,10681314784,4.93
bagel,ours,MM,alloff,text/qkv,13733119008,6.339
bagel,ours,MM,allon_pure,text/attn,24515087541,17.078
bagel,ours,MM,allon_pure,text/ffn_down,28334012448,19.739
bagel,ours,MM,allon_pure,text/ffn_up,66280279744,46.174
bagel,ours,MM,allon_pure,text/omap,10681314784,7.441
bagel,ours,MM,allon_pure,text/qkv,13733119008,9.567
bagel,ours,MM,noT3,text/attn,24515087541,11.316
bagel,ours,MM,noT3,text/ffn_down,54804082144,25.296
bagel,ours,MM,noT3,text/ffn_up,112916756288,52.119
bagel,ours,MM,noT3,text/omap,10681314784,4.93
bagel,ours,MM,noT3,text/qkv,13733119008,6.339
bagel,ours,MM,onlyT1,text/attn,24515087541,11.316
bagel,ours,MM,onlyT1,text/ffn_down,54804082144,25.296
bagel,ours,MM,onlyT1,text/ffn_up,112916756288,52.119
bagel,ours,MM,onlyT1,text/omap,10681314784,4.93
bagel,ours,MM,onlyT1,text/qkv,13733119008,6.339
bagel,ours,MM,onlyT2,text/attn,24515087541,11.316
bagel,ours,MM,onlyT2,text/ffn_down,54804082144,25.296
bagel,ours,MM,onlyT2,text/ffn_up,112916756288,52.119
bagel,ours,MM,onlyT2,text/omap,10681314784,4.93
bagel,ours,MM,onlyT2,text/qkv,13733119008,6.339
bagel,ours,MM,onlyT3,text/attn,24515087541,17.078
bagel,ours,MM,onlyT3,text/ffn_down,28334012448,19.739
bagel,ours,MM,onlyT3,text/ffn_up,66280279744,46.174
bagel,ours,MM,onlyT3,text/omap,10681314784,7.441
bagel,ours,MM,onlyT3,text/qkv,13733119008,9.567
bagel,sdma,GenEdit,all_on,img/attn,96078259200,9.541
bagel,sdma,GenEdit,all_on,img/drain,204800,0.0
bagel,sdma,GenEdit,all_on,img/ffn_down,201189542400,19.979
bagel,sdma,GenEdit,all_on,img/ffn_up,402379084800,39.958
bagel,sdma,GenEdit,all_on,img/omap,38062886400,3.78
bagel,sdma,GenEdit,all_on,img/prefetch,204800,0.0
bagel,sdma,GenEdit,all_on,img/qkv,56674598400,5.628
bagel,sdma,GenEdit,all_on,text/attn,22938490883,2.278
bagel,sdma,GenEdit,all_on,text/ffn_down,54632445728,5.425
bagel,sdma,GenEdit,all_on,text/ffn_up,111045375616,11.027
bagel,sdma,GenEdit,all_on,text/omap,10504292288,1.043
bagel,sdma,GenEdit,all_on,text/qkv,13505518656,1.341
bagel,sdma,GenEval,all_on,img/attn,28769664000,4.195
bagel,sdma,GenEval,all_on,img/drain,204800,0.0
bagel,sdma,GenEval,all_on,img/ffn_down,134126361600,19.557
bagel,sdma,GenEval,all_on,img/ffn_up,268252723200,39.113
bagel,sdma,GenEval,all_on,img/omap,25375257600,3.7
bagel,sdma,GenEval,all_on,img/prefetch,204800,0.0
bagel,sdma,GenEval,all_on,img/qkv,37783065600,5.509
bagel,sdma,GenEval,all_on,text/attn,1838097653,0.268
bagel,sdma,GenEval,all_on,text/ffn_down,54632445728,7.966
bagel,sdma,GenEval,all_on,text/ffn_up,111045375616,16.191
bagel,sdma,GenEval,all_on,text/omap,10504292288,1.532
bagel,sdma,GenEval,all_on,text/qkv,13505518656,1.969
bagel,sdma,MM,all_on,text/attn,22888164698,10.767
bagel,sdma,MM,all_on,text/ffn_down,54632445728,25.7
bagel,sdma,MM,all_on,text/ffn_up,111045375616,52.238
bagel,sdma,MM,all_on,text/omap,10504292288,4.941
bagel,sdma,MM,all_on,text/qkv,13505518656,6.353
janus,base,GenEval,all_on,img/attn,9520957440,9.212
janus,base,GenEval,all_on,img/drain,122880,0.0
janus,base,GenEval,all_on,img/ffn_down,13028843520,12.607
janus,base,GenEval,all_on,img/ffn_up,26057687040,25.213
janus,base,GenEval,all_on,img/omap,4737761280,4.584
janus,base,GenEval,all_on,img/prefetch,122880,0.0
janus,base,GenEval,all_on,img/qkv,12732733440,12.32
janus,base,GenEval,all_on,text/attn,900292728,0.871
janus,base,GenEval,all_on,text/ffn_down,8026798080,7.767
janus,base,GenEval,all_on,text/ffn_up,16409209344,15.878
janus,base,GenEval,all_on,text/omap,2983492608,2.887
janus,base,GenEval,all_on,text/qkv,8950477824,8.66
janus,base,MM,all_on,text/attn,5577705192,13.297
janus,base,MM,all_on,text/ffn_down,8026798080,19.135
janus,base,MM,all_on,text/ffn_up,16409209344,39.118
janus,base,MM,all_on,text/omap,2983492608,7.112
janus,base,MM,all_on,text/qkv,8950477824,21.337
janus,figna,GenEval,all_on,img/attn,17189867520,11.176
janus,figna,GenEval,all_on,img/drain,15360,0.0
janus,figna,GenEval,all_on,img/ffn_down,25668403200,16.688
janus,figna,GenEval,all_on,img/ffn_up,51336806400,33.376
janus,figna,GenEval,all_on,img/omap,9333964800,6.068
janus,figna,GenEval,all_on,img/prefetch,61440,0.0
janus,figna,GenEval,all_on,img/qkv,25085030400,16.309
janus,figna,GenEval,all_on,text/attn,1009496832,0.656
janus,figna,GenEval,all_on,text/ffn_down,3444277248,2.239
janus,figna,GenEval,all_on,text/ffn_up,12009947136,7.808
janus,figna,GenEval,all_on,text/omap,2183626752,1.42
janus,figna,GenEval,all_on,text/qkv,6550880256,4.259
janus,figna,MM,all_on,text/attn,6299394816,20.662
janus,figna,MM,all_on,text/ffn_down,3444277248,11.297
janus,figna,MM,all_on,text/ffn_up,12009947136,39.392
janus,figna,MM,all_on,text/omap,2183626752,7.162
janus,figna,MM,all_on,text/qkv,6550880256,21.487
janus,flightvgm,GenEval,all_on,img/attn,9520957440,9.385
janus,flightvgm,GenEval,all_on,img/drain,122880,0.0
janus,flightvgm,GenEval,all_on,img/ffn_down,13028843520,12.843
janus,flightvgm,GenEval,all_on,img/ffn_up,24157647360,23.813
janus,flightvgm,GenEval,all_on,img/omap,4737761280,4.67
janus,flightvgm,GenEval,all_on,img/prefetch,122880,0.0
janus,flightvgm,GenEval,all_on,img/qkv,12732733440,12.551
janus,flightvgm,GenEval,all_on,text/attn,900292728,0.887
janus,flightvgm,GenEval,all_on,text/ffn_down,8026798080,7.912
janus,flightvgm,GenEval,all_on,text/ffn_up,16409209344,16.175
janus,flightvgm,GenEval,all_on,text/omap,2983492608,2.941
janus,flightvgm,GenEval,all_on,text/qkv,8950477824,8.823
janus,flightvgm,MM,all_on,text/attn,5577705192,13.297
janus,flightvgm,MM,all_on,text/ffn_down,8026798080,19.135
janus,flightvgm,MM,all_on,text/ffn_up,16409209344,39.118
janus,flightvgm,MM,all_on,text/omap,2983492608,7.112
janus,flightvgm,MM,all_on,text/qkv,8950477824,21.337
janus,ours,GenEval,all_on,img/attn,9347235840,10.152
janus,ours,GenEval,all_on,img/drain,15360,0.0
janus,ours,GenEval,all_on,img/ffn_down,13028843520,14.151
janus,ours,GenEval,all_on,img/ffn_up,24429081600,26.533
janus,ours,GenEval,all_on,img/omap,4737761280,5.146
janus,ours,GenEval,all_on,img/prefetch,61440,0.0
janus,ours,GenEval,all_on,img/qkv,12732733440,13.829
janus,ours,GenEval,all_on,text/attn,1010582940,1.098
janus,ours,GenEval,all_on,text/ffn_down,4511820288,4.9
janus,ours,GenEval,all_on,text/ffn_up,17880466560,19.42
